기관코드,상위기관코드,부서여부,기관명,영문기관명,팩스번호,홈페이지주소,상세주소,통계작성여부,표준통계작성기관여부,설립근거유형,설립근거명,기관유형코드,기관유형명,서비스여부
112007,112,Y,교육부 특수교육정책과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
112008,112,Y,교육부 평생직업교육기획과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
112009,112,Y,교육부 초중등교육정책과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
112011,112,Y,교육부 정책홍보관리실,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
112016,112,Y,교육부 정책홍보관리실,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
112017,112,Y,국립특수교육원,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
112018,112,Y,학생복지안전관 학생건강안전과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
112019,112,Y,교육정보통계국 교육통계과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
112020,112,Y,진로교육정책과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
112021,112,Y,학교지원국 학생건강정책과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
112022,112,Y,사회정책분석팀,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
112023,112,Y,교육복지정책국 유아교육정책과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
112100,112,Y,교육부 전국여성과학기술인지원센터,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
112101,112,Y,교욱부 산학협력일자리정책과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
113,,N,문화체육관광부,"Ministry of Culture, Sports and Tourism",,https://www.mcst.go.kr/,,N,N,21101111,설립근거,1211011,중앙행정기관,Y
113000,113,Y,문화체육관광부 기타,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
113001,113,Y,문화체육관광부 관광산업과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
113002,113,Y,문화체육관광부 관광정책과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
113003,113,Y,문화체육관광부 국민관광과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
113004,113,Y,문화체육관광부 방송광고과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
113005,113,Y,문화체육관광부 문화산업정책과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
113006,113,Y,문화체육관광부 문화정책과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
113007,113,Y,문화체육관광부 생활체육과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
113008,113,Y,문화체육관광부 관광산업팀,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
113009,113,Y,문화체육관광부 관광정책팀,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
113010,113,Y,문화체육관광부 미디어정책팀,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
113011,113,Y,문화체육관광부 방송광고팀,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
113012,113,Y,문화체육관광부 문화산업정책팀,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
113013,113,Y,문화체육관광부 문화산업정책팀,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
113014,113,Y,문화체육관광부 공연예술팀,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
113015,113,Y,문화체육관광부 문화예술교육팀,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
113016,113,Y,문화체육관광부 예술정책팀,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
113017,113,Y,문화체육관광부 성과관리팀,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
113018,113,Y,문화체육관광부 생활체육팀,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
113019,113,Y,문화정책국 문화여가정책과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
113020,113,Y,체육국 스포츠산업과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
113021,113,Y,문화체육관광부 체육진흥과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
113022,113,Y,문화체육관광부 공연전통예술과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
113023,113,Y,문화체육관광부 한국호텔업협회,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
113024,113,Y,예술경영지원센터,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
113025,113,Y,문화체육관광부 정책분석팀,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
114,,N,농림축산식품부,"Ministry of Agriculture, Food and Rural Affairs",,https://www.mafra.go.kr/,,N,N,21101111,설립근거,1211011,중앙행정기관,Y
114000,114,Y,농림수산식품부 기타,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
114001,114,Y,농림수산식품부 농업정보통계과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
114002,114,Y,농림수산식품부 특작과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
114003,114,Y,농림수산식품부 과수화훼과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
114004,114,Y,농림수산식품부 시장과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
114005,114,Y,농림수산식품부 채소특작과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
114006,114,Y,농림수산식품부 채소특작과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
114007,114,Y,농림수산식품부 여성정책과,,,,,N,N,21101111,설립근거,21101110,기관유형,Y
